"Average age of first-time students to higher education 2021, by age",
"Average age of new first-time entrants to higher education in OECD countries in 2021, by age",
,
Switzerland,25
Denmark,25
Sweden,24
Türkiye,24
Israel,24
Iceland,24
New Zealand,23
Finland,23
Colombia,23
Germany,23
United Kingdom,23
Chile,22
Estonia,22
Czechia,22
Lithuania,22
Slovak Republic,22
Norway,22
Spain,22
Austria,22
Canada,22
Luxembourg,21
Mexico,21
Hungary,21
Poland,21
Net herlands,20
Greece,20
Portugal,20
Slovenia,20
Italy,20
United States,20
Belgium,19
Japan,18
