,Country,Year,Public,Private,GINIpost,GINIpre
0,AUS,2012,0.721,0.883,0.315,0.414
1,AUS,2014,0.718,1.135,0.327,0.434
2,AUT,2012,1.662,0.085,0.276,0.425
3,AUT,2013,1.649,0.094,0.282,0.424
4,AUT,2014,1.615,0.095,0.276,0.418
5,AUT,2015,1.633,0.109,0.276,0.42100000000000004
6,CAN,2005,1.265,1.033,0.319,0.406
7,CAN,2008,1.493,0.8809999999999999,0.318,0.401
8,CAN,2009,1.5219999999999998,1.169,0.32,0.41
9,CAN,2010,1.49,1.107,0.318,0.41100000000000003
10,CAN,2011,1.354,1.113,0.316,0.40399999999999997
11,CAN,2012,1.295,1.181,0.318,0.402
12,CAN,2013,1.238,1.262,0.322,0.406
13,CAN,2014,1.207,1.284,0.316,0.39799999999999996
14,CAN,2015,1.2009999999999998,1.239,0.322,0.408
15,CZE,2005,0.77,0.17800000000000002,0.258,0.405
16,CZE,2008,0.8440000000000001,0.223,0.256,0.38
17,CZE,2009,0.941,0.237,0.252,0.384
18,CZE,2010,0.892,0.24,0.255,0.386
19,CZE,2011,1.085,0.254,0.256,0.39
20,CZE,2012,0.978,0.256,0.255,0.38799999999999996
21,CZE,2013,0.861,0.257,0.257,0.386
22,CZE,2014,0.784,0.245,0.255,0.381
23,CZE,2015,0.7559999999999999,0.23,0.255,0.37799999999999995
24,DNK,2011,1.696,0.098,0.249,0.39299999999999996
25,DNK,2013,1.54,0.099,0.255,0.401
26,DNK,2014,1.5619999999999998,0.087,0.257,0.402
27,FIN,2005,1.5919999999999999,0.064,0.265,0.423
28,FIN,2008,1.5419999999999998,0.07400000000000001,0.262,0.40700000000000003
29,FIN,2009,1.734,0.077,0.261,0.41600000000000004
30,FIN,2010,1.767,0.075,0.267,0.423
31,FIN,2011,1.786,0.077,0.267,0.42200000000000004
32,FIN,2012,1.777,0.071,0.26,0.418
33,FIN,2013,1.7380000000000002,0.071,0.262,0.42200000000000004
34,FIN,2014,1.713,0.062,0.262,0.424
35,FIN,2015,1.6059999999999999,0.059000000000000004,0.267,0.436
36,FRA,2012,1.133,0.28600000000000003,0.307,0.46
37,FRA,2013,1.14,0.305,0.29100000000000004,0.442
38,FRA,2014,1.141,0.31,0.297,0.452
39,FRA,2015,1.14,0.297,0.299,0.45399999999999996
40,DEU,2008,0.92,0.14400000000000002,0.28800000000000003,0.408
41,DEU,2011,1.028,0.159,0.295,0.42
42,DEU,2012,1.026,0.16899999999999998,0.292,0.41100000000000003
43,DEU,2013,1.02,0.171,0.299,0.419
44,DEU,2014,1.032,0.171,0.294,0.41
45,DEU,2015,1.012,0.187,0.301,0.419
46,ISL,2005,1.09,0.114,0.27699999999999997,0.33399999999999996
47,ISL,2008,1.1,0.094,0.305,0.35100000000000003
48,ISL,2009,1.119,0.09699999999999999,0.267,0.344
49,ISL,2010,1.062,0.10300000000000001,0.25,0.353
50,ISL,2011,1.006,0.10400000000000001,0.251,0.354
51,ISL,2012,1.1420000000000001,0.10300000000000001,0.253,0.345
52,ISL,2013,1.12,0.10800000000000001,0.242,0.33399999999999996
53,ISL,2014,1.138,0.109,0.243,0.331
54,ISL,2015,1.145,0.106,0.256,0.331
55,IRL,2005,0.897,0.171,0.322,0.462
56,IRL,2008,1.105,0.23399999999999999,0.29100000000000004,0.48700000000000004
57,IRL,2009,1.264,0.245,0.315,0.534
58,IRL,2010,1.167,0.26899999999999996,0.301,0.535
59,IRL,2011,1.097,0.266,0.312,0.5329999999999999
60,IRL,2012,1.145,0.225,0.314,0.544
61,IRL,2013,0.927,0.265,0.318,0.532
62,IRL,2014,0.8220000000000001,0.285,0.3,0.507
63,IRL,2015,0.603,0.21600000000000003,0.3,0.498
64,ITA,2008,0.643,0.267,0.311,0.419
65,ITA,2009,0.6459999999999999,0.29600000000000004,0.314,0.425
66,ITA,2010,0.633,0.303,0.32899999999999996,0.446
67,ITA,2011,0.624,0.314,0.32899999999999996,0.442
68,ITA,2012,0.606,0.313,0.335,0.44799999999999995
69,ITA,2013,0.631,0.308,0.32799999999999996,0.442
70,ITA,2014,0.609,0.32899999999999996,0.33,0.439
71,ITA,2015,0.57,0.326,0.33899999999999997,0.452
72,JPN,2009,0.527,0.968,0.332,0.409
73,JPN,2012,0.508,0.9740000000000001,0.32,0.376
74,JPN,2015,0.45,0.938,0.332,0.40700000000000003
75,KOR,2015,0.6559999999999999,1.159,0.337,0.36700000000000005
76,NLD,2011,1.138,0.47,0.294,0.395
77,NLD,2012,1.157,0.484,0.292,0.39899999999999997
78,NLD,2013,1.167,0.493,0.29,0.405
79,NLD,2014,1.172,0.505,0.306,0.424
80,NLD,2015,1.165,0.505,0.292,0.41
81,NZL,2012,0.9470000000000001,0.861,0.33,0.41600000000000004
82,NZL,2014,0.912,0.875,0.34700000000000003,0.41700000000000004
83,NOR,2008,1.505,0.048,0.256,0.36700000000000005
84,NOR,2009,1.5930000000000002,0.065,0.253,0.36700000000000005
85,NOR,2010,1.5590000000000002,0.065,0.257,0.375
86,NOR,2011,1.544,0.066,0.26,0.377
87,NOR,2012,1.516,0.061,0.265,0.37799999999999995
88,NOR,2013,1.54,0.063,0.262,0.377
89,NOR,2014,1.607,0.062,0.268,0.38
90,NOR,2015,1.669,0.07,0.28300000000000003,0.395
91,PRT,2008,0.774,0.473,0.349,0.45899999999999996
92,PRT,2009,0.878,0.36,0.331,0.45299999999999996
93,PRT,2010,0.909,0.408,0.337,0.45799999999999996
94,PRT,2011,0.853,0.391,0.335,0.47200000000000003
95,PRT,2012,0.67,0.565,0.33799999999999997,0.478
96,PRT,2013,0.737,0.532,0.344,0.495
97,PRT,2014,0.77,0.465,0.34,0.483
98,PRT,2015,0.7490000000000001,0.40700000000000003,0.33399999999999996,0.47200000000000003
99,SVK,2005,0.679,0.19899999999999998,0.28300000000000003,0.40399999999999997
100,SVK,2008,0.61,0.225,0.253,0.36
101,SVK,2009,0.618,0.264,0.266,0.38299999999999995
102,SVK,2010,0.623,0.265,0.261,0.379
103,SVK,2011,0.735,0.221,0.258,0.364
104,SVK,2012,0.746,0.265,0.248,0.359
105,SVK,2013,0.8009999999999999,0.26,0.27,0.371
106,SVK,2014,0.8109999999999999,0.24100000000000002,0.244,0.34
107,SVK,2015,1.24,0.311,0.25,0.348
108,ESP,2008,0.9359999999999999,0.251,0.318,0.41100000000000003
109,ESP,2009,1.0090000000000001,0.267,0.326,0.435
110,ESP,2010,1.023,0.285,0.335,0.456
111,ESP,2011,0.9990000000000001,0.29100000000000004,0.34,0.456
112,ESP,2012,0.905,0.33399999999999996,0.33899999999999997,0.46399999999999997
113,ESP,2013,0.879,0.389,0.35100000000000003,0.478
114,ESP,2014,0.853,0.39299999999999996,0.349,0.47600000000000003
115,ESP,2015,0.85,0.40700000000000003,0.35,0.473
116,SWE,2013,1.455,0.17,0.263,0.363
117,SWE,2014,1.442,0.177,0.266,0.364
118,SWE,2015,1.3719999999999999,0.183,0.26899999999999996,0.364
119,GBR,2012,0.953,0.721,0.349,0.47100000000000003
120,GBR,2013,0.983,0.732,0.353,0.47100000000000003
121,GBR,2014,0.47200000000000003,1.22,0.35700000000000004,0.47100000000000003
122,GBR,2015,0.467,1.334,0.36,0.47
123,USA,2013,0.951,1.6669999999999998,0.392,0.478
124,USA,2014,0.92,1.729,0.389,0.473
125,USA,2015,0.907,1.669,0.384,0.469
126,EST,2013,1.2409999999999999,0.27899999999999997,0.35200000000000004,0.446
127,EST,2014,1.3719999999999999,0.359,0.33799999999999997,0.42200000000000004
128,EST,2015,1.2590000000000001,0.423,0.318,0.39799999999999996
129,ISR,2011,0.799,0.8320000000000001,0.355,0.45899999999999996
130,ISR,2012,0.825,0.728,0.358,0.456
131,ISR,2013,0.838,0.789,0.341,0.424
132,ISR,2014,0.8009999999999999,0.74,0.35,0.434
133,ISR,2015,0.858,0.611,0.34600000000000003,0.429
134,SVN,2005,0.938,0.28800000000000003,0.23600000000000002,0.392
135,SVN,2008,0.9129999999999999,0.177,0.228,0.36700000000000005
136,SVN,2009,1.053,0.185,0.242,0.39399999999999996
137,SVN,2010,1.025,0.185,0.24100000000000002,0.395
138,SVN,2011,1.031,0.179,0.243,0.405
139,SVN,2012,1.012,0.163,0.247,0.413
140,SVN,2013,0.9690000000000001,0.14300000000000002,0.254,0.415
141,SVN,2014,0.912,0.151,0.251,0.405
142,SVN,2015,0.863,0.135,0.248,0.4
143,GRC,2012,0.7440000000000001,0.087,0.348,0.51
144,GRC,2013,0.649,0.109,0.35100000000000003,0.486
145,GRC,2014,0.644,0.124,0.35,0.504
146,GRC,2015,0.725,0.114,0.354,0.49200000000000005
147,LUX,2015,0.48700000000000004,0.023,0.308,0.42700000000000005
